id,mirorder,ord,order,suborder,hyporder,info,infraorder,infraorder_alternative,parvorder,spf,superfamily,superfamily_alternative,fam,family,family_alternative,sfam,subfamily,subfamily_alternative,gen,genus,genus_alternative,location_ru,continent_id,period_end,period_start,origin,debug,http://dianov.org/scr/2018.09.16-22.53.17.png
1000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Ptilocercinae,,,Eodendrogale parvum,,Китай,asia,42.7,44.9,,,
2000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Ptilocercinae,,,,,,,0,0,1000,,
3000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Tupaiinae,,,Tupaia miocenica,,Таиланд,asia,16.8,17.9,,,
4000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Tupaiinae,,,Tupaia sivalicus,,Индия,asia,8.8,9.9,,,
5000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Tupaiinae,,,Prodendrogale yunnanica,,Китай,asia,5.7,6.8,,,
6000,,,SCANDENTIA,,,,,,,,,,,Tupaiidae,,,Tupaiinae,,,,,,,0,0,,,
7000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Mixodectidae,,,,,,,,США,n_america,60.2,64.9,,,
8000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Placentidentidae,,,,,,,,Франция,europe,51,53.1,,,
9000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Cynocephalidae,,,,,,Dermotherium sp.,,Бирма,asia,37.4,38.7,,,
10000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Cynocephalidae,,,,,,Dermotherium major,,Таиланд,asia,34.3,36.5,,,
11000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Cynocephalidae,,,,,,Dermotherium chimaera,,Пакистан,asia,30.1,32.3,,,
12000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Cynocephalidae,,,,,,Dermotherium chimaera,,Таиланд,asia,24.6,26.8,,,
13000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Cynocephalidae,,,,,,,,,,0,0,,,
14000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,incertae sedis,,,,,США,n_america,57.8,64.3,,,
15000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,Plagiomeninae,,,,,Канада,n_america,49.9,57.2,,,
16000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,Plagiomeninae,,,,,США,n_america,49.9,57.2,,,
17000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,Thylacaelurinae,,,,,Канада,n_america,35.4,36.6,,,
18000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,Ekgmowechashalinae,,,,,Таиланд,asia,33.8,34.5,,debug761,
19000,,,DERMOPTERA,,,,,,,,PLAGIOMENOIDEA,,,Plagiomenidae,,,Ekgmowechashalinae,,,,,США,n_america,27.4,28.6,,debug739,
20000,PRIMATOMORPHA,,INCERTAE SEDIS,,,,,,,,,,,Purgatoriidae,,,,,,,,США,n_america,62.9,64.9,,,
21000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Adapisoriculidae,,,,,,,,Европа,europe,55.1,64.9,20000,,
22000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Adapisoriculidae,,,,,,,,Северная Африка,africa,55.1,64.9,,,
23000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Adapisoriculidae,,,,,,,,Индия,asia,55.1,64.9,,,
24000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Plesiadapidae,,,Asioplesiadapinae,,,,,Китай,asia,51,53.1,,,
25000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Plesiadapidae,,,Plesiadapinae,,,,,Европа,europe,51,64.9,,,
26000,PRIMATOMORPHA,,PLESIADAPIFORMES,,,,,,,,PLESIADAPOIDEA,,,Plesiadapidae,,,Plesiadapinae,,,,,Северная Америка,n_america,51,64.9,,,
