id,url,x,y_offset,width,max_width,height,visible
3000,tupaiinae.svg,46,-60,20,260,,1
64000,adapidae.svg,70,-70,20,260,,1
30000,carpolestidae.svg,35,-60,20,260,,1
14000,cynocephalidae.svg,20,-60,20,260,,1
97000,lemuridae.svg,38,-30,20,260,,1
69000,chiromyiformes.svg,60,-50,20,260,,1
72000,lorisiformes.svg,70,-30,20,260,,1
109000,omomyidae.svg,27,20,20,260,,1
184000,pitheciidae.svg,64,-200,20,260,,1
123000,tarsiidae.svg,71,0,20,260,,1
271000,chimpanzee.svg,61,-110,20,260,,1
272000,homo_sapiens.svg,46,-135,20,260,,1
