надотряд\b	отряд\b	подотряд\b	гипотряд\b	инфраотряд\b	парвотряд\b	надсем\b\.	сем\b\.	подсем\b\.	род	period	debug
a	a	a	a	a	a	a	a	a	a	a	a	a	a
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Anathana Lyon,	None	debug82
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Anathana ellioti	None	debug87
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Anathana ellioti	None	debug96
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Anathana ellioti	None	debug99
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Anathana ellioti	None	debug102
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	*	[]	debug105
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Dendrogale Gray,	None	debug108
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Dendrogale melanura	None	debug113
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Dendrogale melanura	None	debug118
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Dendrogale melanura	None	debug121
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug124
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Dendrogale murina	None	debug127
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	*	[]	debug133
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Raffles,	[23.03, 5.333]	debug136
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	[]	debug159
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug162
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug167
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug170
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug176
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug179
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug182
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug185
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug188
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug191
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug194
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug197
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug200
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug205
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug208
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug211
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug214
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug219
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug224
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug227
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug233
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug236
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug239
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug242
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug245
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug248
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug251
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug254
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug257
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug260
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug263
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug266
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug269
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug272
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Lyonogale	None	debug275
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug278
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia:	[]	debug281
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug284
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug294
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug297
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug303
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug309
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug315
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug320
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug325
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug330
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug333
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug339
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug342
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug350
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug353
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug361
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug367
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug370
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug373
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug376
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug381
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug384
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug387
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug390
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug393
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug399
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug402
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug409
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug412
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug415
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug418
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug423
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug426
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug429
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug432
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug437
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug440
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug443
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug446
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug453
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug456
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug459
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug462
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia Tupaia	None	debug465
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	–	[]	debug468
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Остальные тупайи:	[]	debug471
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	?Tupaia lacernata	None	debug474
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	?Tupaia meulleri	None	debug480
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	***	[]	debug483
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia miocenica	[23.03, 5.333]	debug486
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Tupaia sivalicus	[23.03, 5.333]	debug489
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	*	[]	debug494
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Urogale Mearns,	None	debug497
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Urogale everetti	None	debug502
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	*	[]	debug511
ARCHONTA	SCANDENTIA						Tupaiidae	Tupaiinae	Prodendrogale yunnanica	[23.03, 5.333]	debug514
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	Ptilocercus Gray,	None	debug522
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	Ptilocercus lowii	None	debug528
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	Ptilocercus lowii	None	debug534
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	Ptilocercus lowii	None	debug537
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	***	[]	debug540
ARCHONTA	SCANDENTIA						Tupaiidae	Ptilocercinae	Eodendrogale parvum	[56.0, 33.9]	debug543
ARCHONTA	SCANDENTIA						Incertae		Gen. et	[56.0, 33.9]	debug550
ARCHONTA	SCANDENTIA						Incertae		Gen. et	[56.0, 33.9]	debug557
ARCHONTA	SCANDENTIA						Incertae		Gen. et	[23.03, 5.333]	debug564
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Cynocephalus Boddaert,	None	debug597
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Cynocephalus volans	None	debug609
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		*	[]	debug614
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Galeopterus Thomas,	None	debug617
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Galeopterus variegatus	None	debug623
