"надотряд\b"	"отряд\b"	"подотряд\b"	"гипотряд\b"	"инфраотряд\b"	"парвотряд\b"	"надсем\b\."	"сем\b\."	"подсем\b\."	"род"	"period_start"	"period_end"	"debug"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Anathana Lyon,"	""	""	"debug82"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Anathana ellioti"	""	""	"debug87"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Anathana ellioti"	""	""	"debug96"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Anathana ellioti"	""	""	"debug99"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Anathana ellioti"	""	""	"debug102"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"*"	""	""	"debug105"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Dendrogale Gray,"	""	""	"debug108"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Dendrogale melanura"	""	""	"debug113"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Dendrogale melanura"	""	""	"debug118"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Dendrogale melanura"	""	""	"debug121"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug124"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Dendrogale murina"	""	""	"debug127"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"*"	""	""	"debug133"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Raffles,"	"23.03"	"5.333"	"debug136"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug159"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug162"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug167"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug170"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug176"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug179"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug182"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug185"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug188"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug191"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug194"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug197"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug200"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug205"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug208"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug211"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug214"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug219"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug224"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug227"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug233"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug236"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug239"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug242"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug245"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug248"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug251"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug254"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug257"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug260"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug263"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug266"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug269"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug272"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Lyonogale"	""	""	"debug275"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug278"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia:"	""	""	"debug281"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug284"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug294"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug297"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug303"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug309"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug315"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug320"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug325"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug330"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug333"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug339"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug342"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug350"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug353"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug361"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug367"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug370"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug373"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug376"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug381"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug384"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug387"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug390"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug393"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"–"	""	""	"debug399"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia Tupaia"	""	""	"debug402"
