id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
1		SCANDENTIA						Tupaildae	Ptilocercinae	Eodendrogale parvum	Китай	asia	45	42.7			
2		SCANDENTIA						Tupaildae	Ptilocercinae	—			0	0	1	0.5	
3		SCANDENTIA						Tupaildae	Tupaiinae	Tupaia miocenica	Таиланд	asia	18	16.8			
4		SCANDENTIA						Tupaildae	Tupaiinae	Tupaia sivalicus	Индия	asia	10	9.8			
5		SCANDENTIA						Tupaildae	Tupaiinae	Prodendrogale yunnanica	Китай	asia	6.8	5.6			
6		SCANDENTIA						Tupaildae	Tupaiinae	—			0	0			
7																	
8		DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae	—	—			0	0	11	0.5	
12		DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae	—	—	США	n_america	66	60.2			
13		DERMOPTERA					PLAGIOMENOIDEA	Placentidentidae	—	—	Франция	europe	53.1	51			
9		DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium sp.	Бирма	asia	38.8	37.4			
10		DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium major	Таиланд	asia	36.5	34.3	9	0.5	
11		DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Пакистан	asia	32.2	30.1	10	0.5	
1011		DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Таиланд	asia	26.8	24.7	11	0.5	
14		DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae sedis	—	США	n_america	64.4	60.2			
15		DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	—	США, Канада	n_america	57.2	50			
16		DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	—	Канада	n_america	36.8	35.5	15	0.5	
17		DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	Таиланд	asia	34.78	33.73			debug761
18		DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	США	n_america	28	26	17	0.5	debug739
19																	
20	PRIMATOMORPHA	INCERTAE SEDIS						Purgatoriidae			США	n_america	66	64			
21	PRIMATOMORPHA	PLESIADAPIFORMES					 PLESIADAPOIDEA	Adapisoriculidae				europe	66	55			
22	PRIMATOMORPHA	PLESIADAPIFORMES					 PLESIADAPOIDEA	Adapisoriculidae			Северная Африка	africa	66	55			
23	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Adapisoriculidae			Индия	asia	66	55			
24	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Plesiadapidae	 Asioplesiadapinae		Китай	asia	53	51			
25	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA					europe					
26	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA					n_america					
27	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA				Пакистан	asia					
28	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA				Индия	asia					
29	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Европа	europe	66	51			
30	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Северная Америка	n_america	66	51			
31	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Пакистан	asia	66	51			
32	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Saxonellidae			Канада	s_america	58	56,3			
33	PRIMATOMORPHA	PLESIADAPIFORMES					PLESIADAPOIDEA	Saxonellidae			Германия	europe	58	56,3			
34	PRIMATOMORPHA	PLESIADAPIFORMES					CARPOLESTOIDEA	Carpolestidae	Carpolestinae		Китай	asia	64.1	53.9			
